epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,106.672,0.72144,0.58051,0.91452,0.86268,0.86502,0.87747,0.72474,0.63114,0.57314,0.92728,0.005842,0.005842,0.005842
44,108.895,0.74217,0.58924,0.91907,0.86667,0.86862,0.88151,0.72685,0.63517,0.55426,0.92364,0.005743,0.005743,0.005743
45,111.259,0.74623,0.58382,0.91189,0.87302,0.86598,0.87915,0.72613,0.6385,0.54773,0.92558,0.005644,0.005644,0.005644
46,113.45,0.73228,0.57822,0.9152,0.86959,0.86998,0.87634,0.71924,0.6439,0.53602,0.92629,0.005545,0.005545,0.005545
47,115.798,0.72625,0.57792,0.91294,0.87134,0.86862,0.87568,0.72078,0.62963,0.54529,0.91986,0.005446,0.005446,0.005446
48,117.998,0.70188,0.56386,0.9115,0.8607,0.87034,0.88487,0.73323,0.61916,0.5596,0.91632,0.005347,0.005347,0.005347
49,120.396,0.72024,0.57329,0.9058,0.85233,0.86998,0.87966,0.72718,0.62451,0.56304,0.91606,0.005248,0.005248,0.005248
50,122.753,0.70339,0.57212,0.91047,0.865,0.86682,0.88166,0.73275,0.61264,0.5414,0.91274,0.005149,0.005149,0.005149
51,125.607,0.70532,0.56943,0.90766,0.85186,0.8614,0.87745,0.72207,0.63216,0.56461,0.91825,0.00505,0.00505,0.00505
52,127.802,0.69911,0.56509,0.90557,0.85912,0.86772,0.88713,0.73623,0.61143,0.52999,0.91299,0.004951,0.004951,0.004951
53,130.149,0.69274,0.55906,0.90652,0.86164,0.88217,0.88922,0.73491,0.62876,0.52944,0.92449,0.004852,0.004852,0.004852
54,132.5,0.7031,0.55816,0.90407,0.8756,0.87133,0.88997,0.74616,0.59699,0.51656,0.9052,0.004753,0.004753,0.004753
