epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,114.462,0.4821,0.47945,0.87353,0.92654,0.92218,0.91434,0.81611,0.4662,0.45355,0.86272,0.00900844,0.00900844,0.00900844
43,117.137,0.48099,0.4672,0.86792,0.93124,0.92571,0.90423,0.82064,0.43138,0.40988,0.85485,0.00896127,0.00896127,0.00896127
44,119.788,0.475,0.47628,0.86818,0.93203,0.92166,0.91189,0.81253,0.47023,0.4336,0.86802,0.00891313,0.00891313,0.00891313
45,122.483,0.49976,0.49808,0.87503,0.92887,0.92402,0.91462,0.83899,0.40856,0.41604,0.8557,0.00886404,0.00886404,0.00886404
46,125.156,0.4774,0.46587,0.86698,0.9314,0.92453,0.91264,0.81814,0.43755,0.41589,0.85508,0.00881401,0.00881401,0.00881401
47,127.82,0.47242,0.47344,0.86947,0.92696,0.92788,0.91043,0.82621,0.43228,0.40922,0.85522,0.00876305,0.00876305,0.00876305
48,130.478,0.47475,0.46569,0.86577,0.93223,0.92469,0.90512,0.82438,0.42288,0.41136,0.85874,0.00871117,0.00871117,0.00871117
49,133.14,0.47146,0.46536,0.86548,0.92866,0.92689,0.91914,0.82605,0.43705,0.42453,0.85795,0.00865839,0.00865839,0.00865839
50,135.88,0.46179,0.46101,0.85961,0.93471,0.92453,0.92369,0.83893,0.41225,0.39626,0.85706,0.00860473,0.00860473,0.00860473
51,138.73,0.4468,0.45196,0.8581,0.92992,0.92689,0.92011,0.83151,0.42169,0.4001,0.84695,0.00855018,0.00855018,0.00855018
52,141.385,0.4658,0.46275,0.86304,0.92818,0.92099,0.91466,0.82725,0.41664,0.4148,0.84829,0.00849477,0.00849477,0.00849477
53,144.06,0.4591,0.4532,0.86184,0.93008,0.92689,0.91919,0.82662,0.41336,0.41175,0.85008,0.00843851,0.00843851,0.00843851
54,146.725,0.46126,0.46394,0.86691,0.93449,0.92513,0.89753,0.81262,0.43869,0.44418,0.85689,0.00838141,0.00838141,0.00838141
55,149.396,0.45565,0.46819,0.86508,0.93255,0.92935,0.91683,0.82124,0.45696,0.41512,0.85179,0.00832349,0.00832349,0.00832349
56,152.064,0.44363,0.45287,0.86034,0.93025,0.92789,0.91044,0.83358,0.42675,0.4042,0.85046,0.00826477,0.00826477,0.00826477
57,154.732,0.45121,0.46595,0.86058,0.93245,0.92783,0.91656,0.84048,0.40104,0.39675,0.84518,0.00820525,0.00820525,0.00820525
58,157.416,0.44308,0.45095,0.84981,0.92998,0.92689,0.92307,0.83363,0.42901,0.40761,0.85325,0.00814495,0.00814495,0.00814495
59,160.337,0.44049,0.44007,0.85733,0.93026,0.92809,0.91836,0.83148,0.42698,0.40283,0.85314,0.00808389,0.00808389,0.00808389
60,163.038,0.43575,0.43511,0.85275,0.93239,0.92807,0.91861,0.83885,0.40376,0.41675,0.84714,0.00802208,0.00802208,0.00802208
61,165.715,0.45254,0.44778,0.85595,0.93426,0.92335,0.90788,0.84111,0.37784,0.41424,0.84283,0.00795954,0.00795954,0.00795954
62,168.384,0.44453,0.44915,0.85558,0.93447,0.92335,0.90791,0.83374,0.38924,0.39556,0.84436,0.00789628,0.00789628,0.00789628
63,171.128,0.44364,0.45507,0.85783,0.93484,0.92571,0.90587,0.82578,0.41653,0.38769,0.84493,0.00783231,0.00783231,0.00783231
64,174.562,0.42979,0.45494,0.85971,0.93314,0.92689,0.91904,0.83676,0.39864,0.39034,0.84195,0.00776766,0.00776766,0.00776766
65,177.283,0.44308,0.44522,0.85412,0.93228,0.92532,0.9185,0.84156,0.39097,0.37985,0.84148,0.00770234,0.00770234,0.00770234
66,179.975,0.42374,0.43959,0.85171,0.93126,0.92217,0.9062,0.83359,0.39337,0.38418,0.84853,0.00763637,0.00763637,0.00763637
67,182.641,0.42255,0.4289,0.84298,0.93411,0.92689,0.9094,0.82681,0.41502,0.37658,0.8446,0.00756976,0.00756976,0.00756976
68,185.322,0.43276,0.44289,0.85905,0.93026,0.92804,0.91289,0.82921,0.43354,0.39215,0.84892,0.00750252,0.00750252,0.00750252
69,188.243,0.41855,0.43743,0.84882,0.92827,0.93095,0.91342,0.8354,0.40595,0.37837,0.85244,0.00743468,0.00743468,0.00743468
70,190.882,0.41592,0.42968,0.84509,0.93132,0.93042,0.92465,0.84709,0.3708,0.37118,0.8419,0.00736625,0.00736625,0.00736625
71,193.576,0.42647,0.43529,0.85519,0.9292,0.92858,0.92788,0.84376,0.40731,0.38745,0.84633,0.00729725,0.00729725,0.00729725
72,196.247,0.42785,0.4308,0.84508,0.93352,0.92689,0.91717,0.84618,0.38402,0.38587,0.84547,0.0072277,0.0072277,0.0072277
73,198.929,0.44037,0.44748,0.85479,0.93668,0.92449,0.92395,0.83912,0.40184,0.37964,0.84484,0.00715761,0.00715761,0.00715761
74,201.593,0.42873,0.4281,0.84989,0.93595,0.92689,0.91705,0.83018,0.43889,0.38595,0.8526,0.007087,0.007087,0.007087
75,204.258,0.42035,0.42879,0.85286,0.93538,0.92689,0.91081,0.83082,0.4248,0.38412,0.84772,0.00701588,0.00701588,0.00701588
76,207.016,0.41247,0.44056,0.85176,0.93665,0.92413,0.91418,0.84026,0.39717,0.37732,0.84027,0.00694428,0.00694428,0.00694428
77,209.696,0.42242,0.43204,0.84905,0.93486,0.92335,0.91533,0.83931,0.37729,0.36857,0.84377,0.00687222,0.00687222,0.00687222
78,212.364,0.40805,0.41264,0.84631,0.93104,0.92807,0.91616,0.84443,0.3879,0.37788,0.83733,0.0067997,0.0067997,0.0067997
79,215.041,0.41811,0.42778,0.84826,0.9326,0.93,0.91663,0.8314,0.41236,0.37799,0.84389,0.00672675,0.00672675,0.00672675
80,217.716,0.42985,0.42711,0.84389,0.9328,0.93042,0.92484,0.84474,0.39985,0.36926,0.84022,0.00665339,0.00665339,0.00665339
